method,class
org.apache.tools.ant.types.resources.comparators.ResourceComparator.execute2,org.apache.tools.ant.taskdefs.DependSet
org.apache.tools.ant.util.DOMElementWriter.writeTagDiff,org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff
org.apache.tools.ant.Task.getClassLoaderForBuild,org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool
org.apache.tools.tar.TarOutputStream.tarResource,org.apache.tools.ant.taskdefs.Tar
org.apache.tools.ant.taskdefs.optional.jsp.JspC.execute2,org.apache.tools.ant.taskdefs.optional.jsp.compilers.JasperC
org.apache.tools.ant.util.SymbolicLinkUtils.delete,org.apache.tools.ant.taskdefs.optional.unix.Symlink
org.apache.tools.ant.util.ClasspathUtils.Delegate.createLoader,org.apache.tools.ant.taskdefs.DefBase
org.apache.tools.ant.types.PatternSet.execute2,org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask
org.apache.tools.ant.types.Resource.zipResource,org.apache.tools.ant.taskdefs.Pack
org.apache.tools.ant.taskdefs.XSLTProcess.configure,org.apache.tools.ant.taskdefs.optional.TraXLiaison
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPool.getClassRefs,org.apache.tools.ant.taskdefs.optional.depend.ClassFile
org.apache.tools.ant.types.resources.Union.eval2,org.apache.tools.ant.taskdefs.UpToDate
org.apache.tools.ant.types.RegularExpression.execute2,org.apache.tools.ant.taskdefs.optional.ReplaceRegExp
org.apache.tools.ant.Project.copyFile2,org.apache.tools.ant.util.FileUtils
org.apache.tools.ant.types.CommandlineJava.execute2,org.apache.tools.ant.taskdefs.optional.ANTLR
org.apache.tools.ant.types.resources.Resources.handleResources,org.apache.tools.ant.taskdefs.Length
org.apache.tools.ant.util.ScriptRunnerHelper.execute2,org.apache.tools.ant.taskdefs.optional.script.ScriptDef
org.apache.tools.ant.types.Environment.createRedirector,org.apache.tools.ant.taskdefs.AbstractJarSignerTask
org.apache.tools.ant.AntClassLoader.getConnection2,org.apache.tools.ant.taskdefs.JDBCTask
org.apache.tools.ant.Location.setImplicitSourceSwitch,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter
org.apache.tools.ant.types.Mapper.copySingleFile,org.apache.tools.ant.taskdefs.Copy
org.apache.tools.ant.util.facade.FacadeTaskHelper.moveGeneratedFile,org.apache.tools.ant.taskdefs.Rmic
org.apache.tools.ant.UnknownElement.execute2,org.apache.tools.ant.taskdefs.PreSetDef
org.apache.tools.ant.util.FileUtils.isFunctioningAsDirectory,org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl
org.apache.tools.ant.taskdefs.optional.Javah.compile,org.apache.tools.ant.taskdefs.optional.javah.Gcjh
