id,name,file,offset,containing_class_id,target_ids
0,org.apache.cayenne.swing.BindingFactory.prepareBinding,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\swing\BindingFactory.java,4635,49,87
1,org.apache.cayenne.modeler.util.NameGeneratorPreferences.createNamingStrategy,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\util\NameGeneratorPreferences.java,3106,99,16
2,org.apache.cayenne.modeler.action.dbimport.MoveImportNodeAction.nodeClassesIsSameTypes,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\MoveImportNodeAction.java,10336,23,48
3,org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction.addPatternParamToContainer,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\AddPatternParamAction.java,2026,90,48
4,org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction.addPatternParamToIncludeTable,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\AddPatternParamAction.java,3175,90,48
5,org.apache.cayenne.modeler.action.RemoveAction.removeDBRelationships,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,13913,1,21 5
6,org.apache.cayenne.modeler.action.RemoveAction.removeObjRelationships,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,14771,1,21 5
7,org.apache.cayenne.modeler.action.RemoveAction.removeMethods,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,15499,1,21 5
8,org.apache.cayenne.modeler.action.OpenProjectAction.openProjectResourse,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\OpenProjectAction.java,7073,100,50
9,org.apache.cayenne.modeler.action.LoadDbSchemaAction.saveConnectionInfo,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\LoadDbSchemaAction.java,6676,13,78
10,org.apache.cayenne.modeler.action.ReverseEngineeringAction.saveConnectionInfo,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\ReverseEngineeringAction.java,6538,2,78
11,org.apache.cayenne.modeler.action.ReverseEngineeringAction.runLoaderInThread,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\ReverseEngineeringAction.java,7661,2,74
12,org.apache.cayenne.modeler.action.CreateCallbackMethodAction.createCallbackMethod,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\CreateCallbackMethodAction.java,3370,20,32
13,org.apache.cayenne.modeler.action.RemoveCallbackMethodAction.removeCallbackMethod,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveCallbackMethodAction.java,3515,101,32
