name,file,containing_class,containing_class_file,target_ids,target_ids_file
org.apache.cayenne.swing.BindingFactory.prepareBinding,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\swing\BindingFactory.java,org.apache.cayenne.swing.BindingFactory,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\swing\BindingFactory.java,org.apache.cayenne.swing.BindingBase,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\swing\BindingBase.java
org.apache.cayenne.modeler.util.NameGeneratorPreferences.createNamingStrategy,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\util\NameGeneratorPreferences.java,org.apache.cayenne.modeler.util.NameGeneratorPreferences,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\util\NameGeneratorPreferences.java,org.apache.cayenne.modeler.Application,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\Application.java
org.apache.cayenne.modeler.action.dbimport.MoveImportNodeAction.nodeClassesIsSameTypes,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\MoveImportNodeAction.java,org.apache.cayenne.modeler.action.dbimport.MoveImportNodeAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\MoveImportNodeAction.java,org.apache.cayenne.modeler.dialog.db.load.DbImportTreeNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbImportTreeNode.java
org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction.addPatternParamToContainer,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\AddPatternParamAction.java,org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\AddPatternParamAction.java,org.apache.cayenne.modeler.dialog.db.load.DbImportTreeNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbImportTreeNode.java
org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction.addPatternParamToIncludeTable,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\AddPatternParamAction.java,org.apache.cayenne.modeler.action.dbimport.AddPatternParamAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\dbimport\AddPatternParamAction.java,org.apache.cayenne.modeler.dialog.db.load.DbImportTreeNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbImportTreeNode.java
org.apache.cayenne.modeler.action.RemoveAction.removeDBRelationships,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.action.RemoveAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.dialog.ConfirmRemoveDialog,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\ConfirmRemoveDialog.java
org.apache.cayenne.modeler.action.RemoveAction.removeDBRelationships,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.action.RemoveAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.ProjectController,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\ProjectController.java
org.apache.cayenne.modeler.action.RemoveAction.removeObjRelationships,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.action.RemoveAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.dialog.ConfirmRemoveDialog,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\ConfirmRemoveDialog.java
org.apache.cayenne.modeler.action.RemoveAction.removeObjRelationships,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.action.RemoveAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.ProjectController,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\ProjectController.java
org.apache.cayenne.modeler.action.RemoveAction.removeMethods,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.action.RemoveAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.dialog.ConfirmRemoveDialog,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\ConfirmRemoveDialog.java
org.apache.cayenne.modeler.action.RemoveAction.removeMethods,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.action.RemoveAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveAction.java,org.apache.cayenne.modeler.ProjectController,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\ProjectController.java
org.apache.cayenne.modeler.action.OpenProjectAction.openProjectResourse,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\OpenProjectAction.java,org.apache.cayenne.modeler.action.OpenProjectAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\OpenProjectAction.java,org.apache.cayenne.modeler.CayenneModelerController,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\CayenneModelerController.java
org.apache.cayenne.modeler.action.LoadDbSchemaAction.saveConnectionInfo,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\LoadDbSchemaAction.java,org.apache.cayenne.modeler.action.LoadDbSchemaAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\LoadDbSchemaAction.java,org.apache.cayenne.modeler.dialog.db.DataSourceWizard,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\DataSourceWizard.java
org.apache.cayenne.modeler.action.ReverseEngineeringAction.saveConnectionInfo,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\ReverseEngineeringAction.java,org.apache.cayenne.modeler.action.ReverseEngineeringAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\ReverseEngineeringAction.java,org.apache.cayenne.modeler.dialog.db.DataSourceWizard,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\DataSourceWizard.java
org.apache.cayenne.modeler.action.ReverseEngineeringAction.runLoaderInThread,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\ReverseEngineeringAction.java,org.apache.cayenne.modeler.action.ReverseEngineeringAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\ReverseEngineeringAction.java,org.apache.cayenne.modeler.dialog.db.load.DbLoaderContext,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbLoaderContext.java
org.apache.cayenne.modeler.action.CreateCallbackMethodAction.createCallbackMethod,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\CreateCallbackMethodAction.java,org.apache.cayenne.modeler.action.CreateCallbackMethodAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\CreateCallbackMethodAction.java,org.apache.cayenne.modeler.editor.CallbackType,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\CallbackType.java
org.apache.cayenne.modeler.action.RemoveCallbackMethodAction.removeCallbackMethod,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveCallbackMethodAction.java,org.apache.cayenne.modeler.action.RemoveCallbackMethodAction,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\RemoveCallbackMethodAction.java,org.apache.cayenne.modeler.editor.CallbackType,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\CallbackType.java
org.apache.cayenne.modeler.dialog.db.load.DbLoaderContext.fillReverseEngineeringFromView,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbLoaderContext.java,org.apache.cayenne.modeler.dialog.db.load.DbLoaderContext,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbLoaderContext.java,org.apache.cayenne.modeler.editor.dbimport.DbImportView,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportView.java
org.apache.cayenne.modeler.dialog.db.load.DbLoaderContext.fillConfig,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbLoaderContext.java,org.apache.cayenne.modeler.dialog.db.load.DbLoaderContext,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbLoaderContext.java,org.apache.cayenne.modeler.pref.DBConnectionInfo,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\pref\DBConnectionInfo.java
org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase.getJoin,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\autorelationship\InferRelationshipsControllerBase.java,org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\autorelationship\InferRelationshipsControllerBase.java,org.apache.cayenne.modeler.dialog.autorelationship.InferredRelationship,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\autorelationship\InferredRelationship.java
org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase.getToMany,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\autorelationship\InferRelationshipsControllerBase.java,org.apache.cayenne.modeler.dialog.autorelationship.InferRelationshipsControllerBase,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\autorelationship\InferRelationshipsControllerBase.java,org.apache.cayenne.modeler.dialog.autorelationship.InferredRelationship,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\autorelationship\InferredRelationship.java
org.apache.cayenne.modeler.editor.dbimport.DbImportTree.findNodeInParent,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.editor.dbimport.DbImportTree,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.dialog.db.load.DbImportTreeNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbImportTreeNode.java
org.apache.cayenne.modeler.editor.dbimport.DbImportTree.findNodeByParentsChain,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.editor.dbimport.DbImportTree,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.dialog.db.load.DbImportTreeNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbImportTreeNode.java
org.apache.cayenne.modeler.editor.dbimport.DbImportTree.findNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.editor.dbimport.DbImportTree,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.dialog.db.load.DbImportTreeNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbImportTreeNode.java
org.apache.cayenne.modeler.editor.dbimport.DbImportTree.printParams,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.editor.dbimport.DbImportTree,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\dbimport\DbImportTree.java,org.apache.cayenne.modeler.dialog.db.load.DbImportTreeNode,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\db\load\DbImportTreeNode.java
org.apache.cayenne.modeler.editor.validation.ObjAttributeWrapperValidator.isAttributeNameOverlapped,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\validation\ObjAttributeWrapperValidator.java,org.apache.cayenne.modeler.editor.validation.ObjAttributeWrapperValidator,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\validation\ObjAttributeWrapperValidator.java,org.apache.cayenne.modeler.editor.wrapper.ObjAttributeWrapper,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\wrapper\ObjAttributeWrapper.java
org.apache.cayenne.modeler.editor.ObjCallbackMethod.encodeCallbackTypeForXML,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\ObjCallbackMethod.java,org.apache.cayenne.modeler.editor.ObjCallbackMethod,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\ObjCallbackMethod.java,org.apache.cayenne.modeler.editor.CallbackType,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\CallbackType.java
org.apache.cayenne.modeler.editor.ObjAttributeTableModel.getDBAttribute,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\ObjAttributeTableModel.java,org.apache.cayenne.modeler.editor.ObjAttributeTableModel,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\ObjAttributeTableModel.java,org.apache.cayenne.modeler.editor.wrapper.ObjAttributeWrapper,modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\editor\wrapper\ObjAttributeWrapper.java
