method,class
edu.rice.cs.drjava.model.definitions.indent.Indenter.IndentReason.indentLines,edu.rice.cs.drjava.ui.InteractionsPane
edu.rice.cs.drjava.model.repl.InteractionsModel.testCaretMovementCyclesWhenAtEnd,edu.rice.cs.drjava.ui.InteractionsPaneTest
edu.rice.cs.util.Log.assertReplThrewSyntaxException,edu.rice.cs.drjava.model.repl.InteractionsModelTest
edu.rice.cs.drjava.model.ClipboardHistoryModel.updateView,edu.rice.cs.drjava.ui.ClipboardHistoryFrame
edu.rice.cs.util.swing.DropDownButton._down,edu.rice.cs.drjava.ui.EditExternalDialog
edu.rice.cs.drjava.model.repl.InteractionsPaneOptions.interpret2,edu.rice.cs.drjava.model.repl.newjvm.InterpreterJVM
edu.rice.cs.drjava.model.debug.DebugEventNotifier._removeCurrentDebugInterpreter,edu.rice.cs.drjava.model.debug.jpda.JPDADebugger
edu.rice.cs.drjava.model.definitions.reducedmodel.ReducedModelControl._getWhiteSpacePrefix,edu.rice.cs.drjava.model.AbstractDJDocument
edu.rice.cs.drjava.model.definitions.reducedmodel.TokenList.Iterator.balanceForward,edu.rice.cs.drjava.model.definitions.reducedmodel.ReducedModelBrace
edu.rice.cs.drjava.model.AbstractDJDocument.testStartsWithPrefixWithText,edu.rice.cs.drjava.model.definitions.indent.QuestionCurrLineStartsWithTest
edu.rice.cs.drjava.model.compiler.CompilerErrorModel._rawJavadocDocument,edu.rice.cs.drjava.model.javadoc.DefaultJavadocModel
edu.rice.cs.drjava.ui.InteractionsController.interpretIgnoreResult,edu.rice.cs.drjava.model.GlobalModelTestCase
edu.rice.cs.drjava.ui.InteractionsPane.setInputListener2,edu.rice.cs.drjava.model.repl.InteractionsModel
edu.rice.cs.drjava.model.MovingDocumentRegion._updateButtons2,edu.rice.cs.drjava.ui.FindResultsPanel
edu.rice.cs.util.swing.DirectoryChooser.setFrameState2,edu.rice.cs.drjava.ui.ExecuteExternalDialog
edu.rice.cs.drjava.model.repl.newjvm.MainJVM.setToDefaultInterpreter,edu.rice.cs.drjava.model.repl.RMIInteractionsModel
edu.rice.cs.drjava.model.definitions.DefinitionsEditorKit.newFile,edu.rice.cs.drjava.model.AbstractGlobalModel
edu.rice.cs.drjava.config.VectorOption<java.io.File>.addMirroredMenu,edu.rice.cs.drjava.ui.RecentFileManager
