id,name,file,offset
0,org.drools.persistence.jpa.marshaller.VariableEntity,drools-persistence\drools-persistence-jpa\src\main\java\org\drools\persistence\jpa\marshaller\VariableEntity.java,938
1,org.drools.compiler.lang.descr.FunctionDescr,drools-compiler\src\main\java\org\drools\compiler\lang\descr\FunctionDescr.java,833
2,org.drools.scenariosimulation.api.model.ExpressionIdentifier,drools-scenario-simulation\drools-scenario-simulation-api\src\main\java\org\drools\scenariosimulation\api\model\ExpressionIdentifier.java,697
3,org.drools.core.reteoo.LeftInputAdapterNode,drools-core\src\main\java\org\drools\core\reteoo\LeftInputAdapterNode.java,2143
4,org.drools.games.adventures.GameEngine,drools-examples\src\main\java\org\drools\games\adventures\GameEngine.java,1018
5,org.drools.games.pong.Bat,drools-examples\src\main\java\org\drools\games\pong\Bat.java,612
6,org.drools.examples.templates.FeeScheduleType,drools-examples\src\main\java\org\drools\examples\templates\FeeScheduleType.java,661
7,org.drools.workbench.models.datamodel.rule.FromCollectCompositeFactPattern,drools-workbench-models\drools-workbench-models-datamodel-api\src\main\java\org\drools\workbench\models\datamodel\rule\FromCollectCompositeFactPattern.java,676
8,org.drools.core.phreak.PhreakEvalNode,drools-core\src\main\java\org\drools\core\phreak\PhreakEvalNode.java,1027
9,org.drools.games.adventures.UserSession,drools-examples\src\main\java\org\drools\games\adventures\UserSession.java,903
10,org.drools.core.reteoo.NotNode,drools-core\src\main\java\org\drools\core\reteoo\NotNode.java,1140
11,org.drools.workbench.models.guided.dtable.shared.model.GuidedDecisionTable52,drools-workbench-models\drools-workbench-models-guided-dtable\src\main\java\org\drools\workbench\models\guided\dtable\shared\model\GuidedDecisionTable52.java,1427
12,org.drools.core.factmodel.FieldDefinition,drools-core\src\main\java\org\drools\core\factmodel\FieldDefinition.java,1147
13,org.kie.dmn.feel.lang.ast.QuantifiedExpressionNode,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\QuantifiedExpressionNode.java,1044
14,org.drools.core.common.EqualityKey,drools-core\src\main\java\org\drools\core\common\EqualityKey.java,860
15,org.drools.games.pong.Ball,drools-examples\src\main\java\org\drools\games\pong\Ball.java,611
16,org.drools.core.base.ClassObjectType,drools-core\src\main\java\org\drools\core\base\ClassObjectType.java,1177
17,org.drools.core.util.index.TupleIndexHashTable,drools-core\src\main\java\org\drools\core\util\index\TupleIndexHashTable.java,1035
18,org.drools.core.base.evaluators.Operator,drools-core\src\main\java\org\drools\core\base\evaluators\Operator.java,888
19,org.drools.compiler.lang.descr.RuleDescr,drools-compiler\src\main\java\org\drools\compiler\lang\descr\RuleDescr.java,1253
20,org.kie.dmn.core.impl.DMNRuntimeImpl,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\impl\DMNRuntimeImpl.java,2978
21,org.drools.workbench.models.guided.dtable.shared.model.BRLConditionVariableColumn,drools-workbench-models\drools-workbench-models-guided-dtable\src\main\java\org\drools\workbench\models\guided\dtable\shared\model\BRLConditionVariableColumn.java,705
22,org.drools.core.common.NamedEntryPoint,drools-core\src\main\java\org\drools\core\common\NamedEntryPoint.java,2221
23,org.drools.compiler.rule.builder.dialect.java.JavaAnalysisResult,drools-compiler\src\main\java\org\drools\compiler\rule\builder\dialect\java\JavaAnalysisResult.java,1064
