id,name,file,offset,containing_class_id,target_ids
0,org.kie.dmn.core.impl.DMNRuntimeImpl.isNodeValueDefined,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\impl\DMNRuntimeImpl.java,19990,20,242
1,org.kie.dmn.core.impl.DMNRuntimeImpl.checkDependencyValueIsValid,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\impl\DMNRuntimeImpl.java,34935,20,242
2,org.kie.dmn.core.impl.DMNRuntimeImpl.reportFailure,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\impl\DMNRuntimeImpl.java,36677,20,46
3,org.kie.dmn.core.compiler.DMNFEELHelper.isDuplicateEvent,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DMNFEELHelper.java,10242,57,199
4,org.kie.dmn.core.compiler.DMNCompilerImpl.importFromModel,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DMNCompilerImpl.java,9491,62,199
5,org.kie.dmn.core.compiler.DMNEvaluatorCompiler.compileRelation,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DMNEvaluatorCompiler.java,10800,219,28 44 199
6,org.kie.dmn.core.compiler.DMNEvaluatorCompiler.compileList,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DMNEvaluatorCompiler.java,13334,219,28 44 199
7,org.kie.dmn.core.compiler.DMNEvaluatorCompiler.textToUnaryTestList,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DMNEvaluatorCompiler.java,45898,219,28 199
8,org.kie.dmn.core.compiler.DecisionServiceCompiler.compileNode,kie-dmn\kie-dmn-core\src\main\java\org\kie\dmn\core\compiler\DecisionServiceCompiler.java,1835,73,199 62
9,org.kie.dmn.feel.lang.ast.QuantifiedExpressionNode.createQuantifiedExpressionIterationContext,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\lang\ast\QuantifiedExpressionNode.java,5033,13,178
10,org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor.getFunctionName,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,18710,53,250
11,org.kie.dmn.feel.parser.feel11.ASTBuilderVisitor.buildNotCall,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\parser\feel11\ASTBuilderVisitor.java,20572,53,250 77
12,org.kie.dmn.feel.codegen.feel11.ASTUnaryTestTransform.rewriteToUnaryTestExpr,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\ASTUnaryTestTransform.java,2303,252,250
13,org.kie.dmn.feel.codegen.feel11.ASTUnaryTestTransform.rewriteToUnaryEqInExpr,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\ASTUnaryTestTransform.java,2452,252,250
14,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.isNumericConstant,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,36544,233,210
15,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.createUnaryTestExpression,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,37228,233,210
16,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.createRuntimeUnaryTestExpression,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,42137,233,210
17,org.kie.dmn.feel.codegen.feel11.DirectCompilerVisitor.createWildcardUnaryTestExpression,kie-dmn\kie-dmn-feel\src\main\java\org\kie\dmn\feel\codegen\feel11\DirectCompilerVisitor.java,45591,233,210
