id,name,file,offset
0,hudson.tools.ToolInstallation,core\src\main\java\hudson\tools\ToolInstallation.java,1789
1,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,2497
2,hudson.security.HudsonPrivateSecurityRealm,core\src\main\java\hudson\security\HudsonPrivateSecurityRealm.java,3878
3,hudson.EnvVars,core\src\main\java\hudson\EnvVars.java,1891
4,hudson.model.StringParameterValue,core\src\main\java\hudson\model\StringParameterValue.java,1515
5,hudson.tools.ToolInstaller,core\src\main\java\hudson\tools\ToolInstaller.java,1596
6,hudson.PluginWrapper,core\src\main\java\hudson\PluginWrapper.java,3531
7,hudson.model.ViewGroupMixIn,core\src\main\java\hudson\model\ViewGroupMixIn.java,1446
8,hudson.slaves.NodeDescriptor,core\src\main\java\hudson\slaves\NodeDescriptor.java,1785
9,hudson.model.View,core\src\main\java\hudson\model\View.java,4817
10,hudson.model.User,core\src\main\java\hudson\model\User.java,3869
11,hudson.tasks.Maven,core\src\main\java\hudson\tasks\Maven.java,3273
12,hudson.model.TopLevelItemDescriptor,core\src\main\java\hudson\model\TopLevelItemDescriptor.java,2016
13,hudson.slaves.JNLPLauncher,core\src\main\java\hudson\slaves\JNLPLauncher.java,1809
14,hudson.model.Queue,core\src\main\java\hudson\model\Queue.java,5419
15,hudson.util.FileVisitor,core\src\main\java\hudson\util\FileVisitor.java,128
16,jenkins.security.apitoken.LegacyApiTokenAdministrativeMonitor,core\src\main\java\jenkins\security\apitoken\LegacyApiTokenAdministrativeMonitor.java,1890
17,hudson.cli.ListPluginsCommand,core\src\main\java\hudson\cli\ListPluginsCommand.java,1381
18,hudson.model.ViewDescriptor,core\src\main\java\hudson\model\ViewDescriptor.java,1860
19,hudson.tasks.BuildStepCompatibilityLayer,core\src\main\java\hudson\tasks\BuildStepCompatibilityLayer.java,1711
20,hudson.security.ACL,core\src\main\java\hudson\security\ACL.java,2231
21,hudson.MarkupText,core\src\main\java\hudson\MarkupText.java,1341
22,hudson.Launcher,core\src\main\java\hudson\Launcher.java,2581
23,jenkins.scm.SCMCheckoutStrategy,core\src\main\java\jenkins\scm\SCMCheckoutStrategy.java,476
24,hudson.model.Node,core\src\main\java\hudson\model\Node.java,3000
25,hudson.util.MultipartFormDataParser,core\src\main\java\hudson\util\MultipartFormDataParser.java,1671
26,hudson.model.Computer,core\src\main\java\hudson\model\Computer.java,4785
27,hudson.model.ParameterValue,core\src\main\java\hudson\model\ParameterValue.java,1931
28,jenkins.util.VirtualFile,core\src\main\java\jenkins\util\VirtualFile.java,2679
29,hudson.model.ComputerSet,core\src\main\java\hudson\model\ComputerSet.java,2631
30,hudson.security.Permission,core\src\main\java\hudson\security\Permission.java,1625
31,hudson.security.csrf.CrumbIssuer,core\src\main\java\hudson\security\csrf\CrumbIssuer.java,1120
32,hudson.slaves.SlaveComputer,core\src\main\java\hudson\slaves\SlaveComputer.java,3865
33,hudson.model.ChoiceParameterDefinition,core\src\main\java\hudson\model\ChoiceParameterDefinition.java,647
34,hudson.tools.DownloadFromUrlInstaller,core\src\main\java\hudson\tools\DownloadFromUrlInstaller.java,407
35,hudson.FilePath,core\src\main\java\hudson\FilePath.java,5602
36,hudson.model.Label,core\src\main\java\hudson\model\Label.java,3125
37,hudson.scm.ChangeLogAnnotator,core\src\main\java\hudson\scm\ChangeLogAnnotator.java,1562
38,hudson.model.DirectoryBrowserSupport,core\src\main\java\hudson\model\DirectoryBrowserSupport.java,2597
