name,file,containing_class,containing_class_file,target_ids,target_ids_file
hudson.cli.ListPluginsCommand.printPlugin,core\src\main\java\hudson\cli\ListPluginsCommand.java,hudson.cli.ListPluginsCommand,core\src\main\java\hudson\cli\ListPluginsCommand.java,hudson.PluginWrapper,core\src\main\java\hudson\PluginWrapper.java
hudson.scm.SCM.postCheckout,core\src\main\java\hudson\scm\SCM.java,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,hudson.Launcher,core\src\main\java\hudson\Launcher.java
hudson.scm.SCM.postCheckout,core\src\main\java\hudson\scm\SCM.java,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,hudson.FilePath,core\src\main\java\hudson\FilePath.java
hudson.scm.SCM.postCheckout,core\src\main\java\hudson\scm\SCM.java,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,hudson.Launcher,core\src\main\java\hudson\Launcher.java
hudson.scm.SCM.postCheckout,core\src\main\java\hudson\scm\SCM.java,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,hudson.FilePath,core\src\main\java\hudson\FilePath.java
hudson.scm.SCM.getModuleRoot,core\src\main\java\hudson\scm\SCM.java,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,hudson.FilePath,core\src\main\java\hudson\FilePath.java
hudson.scm.SCM.getModuleRoots,core\src\main\java\hudson\scm\SCM.java,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,hudson.FilePath,core\src\main\java\hudson\FilePath.java
hudson.scm.SCM.getModuleRoots,core\src\main\java\hudson\scm\SCM.java,hudson.scm.SCM,core\src\main\java\hudson\scm\SCM.java,hudson.FilePath,core\src\main\java\hudson\FilePath.java
hudson.scm.ChangeLogAnnotator.annotate,core\src\main\java\hudson\scm\ChangeLogAnnotator.java,hudson.scm.ChangeLogAnnotator,core\src\main\java\hudson\scm\ChangeLogAnnotator.java,hudson.MarkupText,core\src\main\java\hudson\MarkupText.java
hudson.model.View.isRelevant,core\src\main\java\hudson\model\View.java,hudson.model.View,core\src\main\java\hudson\model\View.java,hudson.model.Computer,core\src\main\java\hudson\model\Computer.java
hudson.model.Label.contains,core\src\main\java\hudson\model\Label.java,hudson.model.Label,core\src\main\java\hudson\model\Label.java,hudson.model.Node,core\src\main\java\hudson\model\Node.java
hudson.model.Queue._getBuildableItems,core\src\main\java\hudson\model\Queue.java,hudson.model.Queue,core\src\main\java\hudson\model\Queue.java,hudson.model.Computer,core\src\main\java\hudson\model\Computer.java
hudson.model.ParameterValue.buildEnvVars,core\src\main\java\hudson\model\ParameterValue.java,hudson.model.ParameterValue,core\src\main\java\hudson\model\ParameterValue.java,hudson.EnvVars,core\src\main\java\hudson\EnvVars.java
hudson.model.ViewGroupMixIn.canDelete,core\src\main\java\hudson\model\ViewGroupMixIn.java,hudson.model.ViewGroupMixIn,core\src\main\java\hudson\model\ViewGroupMixIn.java,hudson.model.View,core\src\main\java\hudson\model\View.java
hudson.model.DirectoryBrowserSupport.isDescendant,core\src\main\java\hudson\model\DirectoryBrowserSupport.java,hudson.model.DirectoryBrowserSupport,core\src\main\java\hudson\model\DirectoryBrowserSupport.java,jenkins.util.VirtualFile,core\src\main\java\jenkins\util\VirtualFile.java
hudson.model.ChoiceParameterDefinition.checkValue,core\src\main\java\hudson\model\ChoiceParameterDefinition.java,hudson.model.ChoiceParameterDefinition,core\src\main\java\hudson\model\ChoiceParameterDefinition.java,hudson.model.StringParameterValue,core\src\main\java\hudson\model\StringParameterValue.java
hudson.tasks.Maven.buildEnvVars,core\src\main\java\hudson\tasks\Maven.java,hudson.tasks.Maven,core\src\main\java\hudson\tasks\Maven.java,hudson.EnvVars,core\src\main\java\hudson\EnvVars.java
hudson.tasks.BuildStepCompatibilityLayer.perform,core\src\main\java\hudson\tasks\BuildStepCompatibilityLayer.java,hudson.tasks.BuildStepCompatibilityLayer,core\src\main\java\hudson\tasks\BuildStepCompatibilityLayer.java,hudson.Launcher,core\src\main\java\hudson\Launcher.java
hudson.tools.ToolInstaller.appliesTo,core\src\main\java\hudson\tools\ToolInstaller.java,hudson.tools.ToolInstaller,core\src\main\java\hudson\tools\ToolInstaller.java,hudson.model.Node,core\src\main\java\hudson\model\Node.java
hudson.tools.ToolInstallation.translate,core\src\main\java\hudson\tools\ToolInstallation.java,hudson.tools.ToolInstallation,core\src\main\java\hudson\tools\ToolInstallation.java,hudson.model.Node,core\src\main\java\hudson\model\Node.java
hudson.tools.ToolInstallation.translate,core\src\main\java\hudson\tools\ToolInstallation.java,hudson.tools.ToolInstallation,core\src\main\java\hudson\tools\ToolInstallation.java,hudson.EnvVars,core\src\main\java\hudson\EnvVars.java
hudson.tools.DownloadFromUrlInstaller.isUpToDate,core\src\main\java\hudson\tools\DownloadFromUrlInstaller.java,hudson.tools.DownloadFromUrlInstaller,core\src\main\java\hudson\tools\DownloadFromUrlInstaller.java,hudson.FilePath,core\src\main\java\hudson\FilePath.java
hudson.tools.DownloadFromUrlInstaller.findPullUpDirectory,core\src\main\java\hudson\tools\DownloadFromUrlInstaller.java,hudson.tools.DownloadFromUrlInstaller,core\src\main\java\hudson\tools\DownloadFromUrlInstaller.java,hudson.FilePath,core\src\main\java\hudson\FilePath.java
hudson.slaves.JNLPLauncher.getWorkDirOptions,core\src\main\java\hudson\slaves\JNLPLauncher.java,hudson.slaves.JNLPLauncher,core\src\main\java\hudson\slaves\JNLPLauncher.java,hudson.model.Computer,core\src\main\java\hudson\model\Computer.java
