method,class
org.apache.jmeter.testelement.property.CollectionProperty.addFile,org.apache.jmeter.protocol.http.control.CookieManager
org.apache.jmeter.engine.StandardJMeterEngine.doAction2,org.apache.jmeter.gui.action.Start
org.apache.jmeter.gui.util.ReportMenuBar.showStoppingMessage,org.apache.jmeter.gui.ReportMainFrame
org.apache.jmeter.protocol.http.proxy.ProxyControl.createPortPanel,org.apache.jmeter.protocol.http.proxy.gui.ProxyControlGui
org.apache.jmeter.gui.util.JLabeledRadioI18N.createTestElement2,org.apache.jmeter.protocol.jms.control.gui.JMSPublisherGui
org.apache.jmeter.report.gui.tree.ReportTreeNode.createTestElement,org.apache.jmeter.gui.ReportGuiPackage
org.apache.jmeter.samplers.Entry.sample2,org.apache.jmeter.examples.sampler.ExampleSampler
org.apache.jmeter.protocol.http.gui.HTTPArgumentsPanel.getResponseTimeOutPanel,org.apache.jmeter.protocol.http.config.gui.UrlConfigGui          
org.apache.jmeter.samplers.SampleEvent.sampleOccurred,org.apache.jmeter.visualizers.JSR223Listener
org.apache.jmeter.util.BeanShellInterpreter.interrupt2,org.apache.jmeter.protocol.java.sampler.BeanShellSampler
org.apache.jmeter.protocol.java.sampler.JavaSamplerContext.runTest,org.apache.jmeter.protocol.java.test.SleepTest
org.apache.jmeter.protocol.java.config.gui.JavaConfigGui.modifyTestElement2,org.apache.jmeter.protocol.java.control.gui.JavaTestSamplerGui
org.apache.jorphan.collections.Data.addNewColumn,org.apache.jmeter.gui.util.PowerTableModel
org.apache.jmeter.protocol.jms.client.Publisher.getMapContent,org.apache.jmeter.protocol.jms.sampler.PublisherSampler
org.apache.jmeter.samplers.SampleResult.addTest,org.apache.jmeter.protocol.ldap.sampler.LDAPExtSamplerorg.apache.jmeter.protocol.ldap.sampler.LDAPExtSampler
org.apache.jmeter.protocol.ldap.config.gui.LdapConfigGui.modifyTestElement2,org.apache.jmeter.protocol.ldap.control.gui.LdapTestSamplerGui
org.apache.jmeter.threads.AbstractThreadGroup.startThreadGroup,org.apache.jmeter.engine.StandardJMeterEngine
org.apache.jmeter.util.keystore.JmeterKeyStore.getTrustStore,org.apache.jmeter.util.SSLManager
org.apache.jmeter.threads.JMeterVariables.processMatches,org.apache.jmeter.extractor.RegexExtractor
org.apache.jmeter.gui.util.ReportFilePanel.init,org.apache.jmeter.report.writers.gui.HTMLReportWriterGui
org.apache.jmeter.control.gui.LoopControlPanel.init2,org.apache.jmeter.threads.gui.ThreadGroupGui
org.apache.jmeter.swing.HtmlPane.doAction2,org.apache.jmeter.report.gui.action.ReportHelp
org.apache.jmeter.assertions.gui.XMLConfPanel.init,org.apache.jmeter.extractor.gui.XPathExtractorGui
org.apache.jmeter.protocol.http.control.HttpMirrorControl.init,org.apache.jmeter.protocol.http.control.gui.HttpMirrorControlGui
org.apache.jmeter.protocol.jms.client.ReceiveSubscriber.sample2,org.apache.jmeter.protocol.jms.sampler.SubscriberSampler
