method,class
org.apache.maven.project.ExtensionDescriptor.put,org.apache.maven.plugin.DefaultExtensionRealmCache
org.apache.maven.artifact.resolver.ResolutionNode.manageArtifact,org.apache.maven.repository.legacy.resolver.DefaultLegacyArtifactCollector
org.apache.maven.model.building.ModelProblem.Severity.add2,org.apache.maven.model.building.DefaultModelProblemCollector
org.apache.maven.plugin.descriptor.PluginDescriptorBuilder.getConfiguredMojo2,org.apache.maven.plugin.internal.DefaultMavenPluginManager
org.apache.maven.lifecycle.internal.DefaultLifecycleTaskSegmentCalculator.testCalculationOfBuildPlanWithIndividualTaskOfTheCleanCleanGoal,org.apache.maven.lifecycle.LifecycleExecutorTest
org.apache.maven.classrealm.ClassRealmRequest.RealmType.createRealm,org.apache.maven.classrealm.DefaultClassRealmManager
org.apache.maven.plugin.MojoExecution.setupMojoExecution,org.apache.maven.lifecycle.internal.DefaultLifecycleExecutionPlanCalculator
org.apache.maven.project.DefaultProjectBuilder.buildPom,org.apache.maven.settings.PomConstructionWithSettingsTest
org.apache.maven.lifecycle.DefaultLifecycles.execute,org.apache.maven.lifecycle.internal.LifecycleStarter
org.apache.maven.artifact.resolver.ArtifactResolutionRequest.resolve,org.apache.maven.repository.legacy.LegacyRepositorySystem
org.apache.maven.lifecycle.internal.DependencyContext.execute,org.apache.maven.lifecycle.internal.stub.MojoExecutorStub
org.apache.maven.lifecycle.internal.MojoExecutor.calculateExecutionPlan2,org.apache.maven.lifecycle.DefaultLifecycleExecutor
org.apache.maven.settings.building.SettingsProblem.Severity.add,org.apache.maven.settings.building.DefaultSettingsProblemCollector
org.apache.maven.plugin.descriptor.PluginDescriptor.getPluginRealm,org.apache.maven.plugin.DefaultBuildPluginManager
org.apache.maven.settings.merge.MavenSettingsMerger.readSettings,org.apache.maven.settings.building.DefaultSettingsBuilder
org.apache.maven.artifact.ArtifactScopeEnum.getClasspathTree,org.apache.maven.repository.metadata.MetadataResolutionResult
org.apache.maven.lifecycle.internal.LifecycleStarter.trimSelectedProjects,org.apache.maven.DefaultMaven
org.apache.maven.lifecycle.MavenExecutionPlan.debugProjectPlan,org.apache.maven.lifecycle.internal.LifecycleDebugLogger
org.apache.maven.lifecycle.Schedule.buildExecutionPlanItem2,org.apache.maven.lifecycle.internal.LifecycleWeaveBuilder
org.apache.maven.artifact.versioning.VersionRange.createArtifact2,org.apache.maven.artifact.factory.DefaultArtifactFactory
org.apache.maven.project.MavenProject.resolveBuildPlan,org.apache.maven.lifecycle.internal.BuilderCommon
org.apache.maven.eventspy.internal.EventSpyDispatcher.version,org.apache.maven.cli.MavenCli
org.apache.maven.project.harness.PomTestWrapper.testCompleteModel,org.apache.maven.project.PomConstructionTest
org.apache.maven.execution.MavenSession.createBuildContext,org.apache.maven.lifecycle.internal.LifecycleWeaveBuilderTest
