id,name,file,offset
0,com.navercorp.pinpoint.profiler.monitor.metric.datasource.DataSourceMetricSnapshot,profiler\src\main\java\com\navercorp\pinpoint\profiler\monitor\metric\datasource\DataSourceMetricSnapshot.java,717
1,com.navercorp.pinpoint.profiler.util.FileBinary,profiler\src\main\java\com\navercorp\pinpoint\profiler\util\FileBinary.java,646
2,com.navercorp.pinpoint.profiler.context.recorder.WrappedSpanEventRecorder,profiler\src\main\java\com\navercorp\pinpoint\profiler\context\recorder\WrappedSpanEventRecorder.java,1746
3,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkDataMap,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\LinkDataMap.java,825
4,com.navercorp.pinpoint.web.vo.Range,web\src\main\java\com\navercorp\pinpoint\web\vo\Range.java,729
5,com.navercorp.pinpoint.web.mapper.ResponseTimeMapper,web\src\main\java\com\navercorp\pinpoint\web\mapper\ResponseTimeMapper.java,1633
6,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkData,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\LinkData.java,873
7,com.navercorp.pinpoint.plugin.spring.beans.interceptor.TargetBeanFilter,plugins\spring\src\main\java\com\navercorp\pinpoint\plugin\spring\beans\interceptor\TargetBeanFilter.java,1316
8,com.navercorp.pinpoint.web.scatter.ScatterData,web\src\main\java\com\navercorp\pinpoint\web\scatter\ScatterData.java,1040
9,com.navercorp.pinpoint.bootstrap.plugin.proxy.ProxyHttpHeaderParser,bootstrap-core\src\main\java\com\navercorp\pinpoint\bootstrap\plugin\proxy\ProxyHttpHeaderParser.java,708
10,com.navercorp.pinpoint.web.applicationmap.nodes.Node,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\nodes\Node.java,1012
11,com.navercorp.pinpoint.thrift.dto.command.TActiveThreadLightDump,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\command\TActiveThreadLightDump.java,191
12,com.navercorp.pinpoint.profiler.context.Annotation,profiler\src\main\java\com\navercorp\pinpoint\profiler\context\Annotation.java,966
13,com.navercorp.pinpoint.web.applicationmap.histogram.TimeHistogram,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\histogram\TimeHistogram.java,805
14,com.navercorp.pinpoint.web.applicationmap.histogram.AgentTimeHistogram,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\histogram\AgentTimeHistogram.java,1393
15,com.navercorp.pinpoint.profiler.context.thrift.JvmGcTypeThriftMessageConverter,profiler\src\main\java\com\navercorp\pinpoint\profiler\context\thrift\JvmGcTypeThriftMessageConverter.java,776
16,com.navercorp.pinpoint.profiler.monitor.metric.filedescriptor.FileDescriptorMetricSnapshot,profiler\src\main\java\com\navercorp\pinpoint\profiler\monitor\metric\filedescriptor\FileDescriptorMetricSnapshot.java,668
17,com.navercorp.pinpoint.profiler.monitor.metric.transaction.TransactionMetricSnapshot,profiler\src\main\java\com\navercorp\pinpoint\profiler\monitor\metric\transaction\TransactionMetricSnapshot.java,665
18,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkDataDuplexMap,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\LinkDataDuplexMap.java,733
19,com.navercorp.pinpoint.common.server.bo.SpanEventBo,commons-server\src\main\java\com\navercorp\pinpoint\common\server\bo\SpanEventBo.java,666
20,com.navercorp.pinpoint.common.hbase.parallel.ParallelResultScanner,commons-hbase\src\main\java\com\navercorp\pinpoint\common\hbase\parallel\ParallelResultScanner.java,1206
21,com.navercorp.pinpoint.profiler.metadata.ApiMetaData,profiler\src\main\java\com\navercorp\pinpoint\profiler\metadata\ApiMetaData.java,643
22,com.navercorp.pinpoint.profiler.monitor.metric.cpu.CpuLoadMetricSnapshot,profiler\src\main\java\com\navercorp\pinpoint\profiler\monitor\metric\cpu\CpuLoadMetricSnapshot.java,657
