id,name,file,offset,containing_class_id,target_ids
0,com.navercorp.pinpoint.rpc.client.PinpointClientHandshaker.decode,rpc\src\main\java\com\navercorp\pinpoint\rpc\client\PinpointClientHandshaker.java,7372,98,72
1,com.navercorp.pinpoint.rpc.client.PinpointClientHandlerState.isReconnect,rpc\src\main\java\com\navercorp\pinpoint\rpc\client\PinpointClientHandlerState.java,5721,82,37
2,com.navercorp.pinpoint.rpc.common.SocketState.checkState,rpc\src\main\java\com\navercorp\pinpoint\rpc\common\SocketState.java,3763,87,37
3,com.navercorp.pinpoint.rpc.server.DefaultPinpointServer.getHandshakeResponseCode,rpc\src\main\java\com\navercorp\pinpoint\rpc\server\DefaultPinpointServer.java,20389,56,103
4,com.navercorp.pinpoint.rpc.stream.StreamChannelState.checkState,rpc\src\main\java\com\navercorp\pinpoint\rpc\stream\StreamChannelState.java,1717,40,116
5,com.navercorp.pinpoint.rpc.stream.StreamChannelState.assertState,rpc\src\main\java\com\navercorp\pinpoint\rpc\stream\StreamChannelState.java,1950,40,116
6,com.navercorp.pinpoint.rpc.stream.StreamChannelManager.handlePing,rpc\src\main\java\com\navercorp\pinpoint\rpc\stream\StreamChannelManager.java,7456,78,86
7,com.navercorp.pinpoint.web.vo.callstacks.RecordFactory.getParentId,web\src\main\java\com\navercorp\pinpoint\web\vo\callstacks\RecordFactory.java,7560,94,42
8,com.navercorp.pinpoint.web.dao.hbase.HbaseHostApplicationMapDao.createKey,web\src\main\java\com\navercorp\pinpoint\web\dao\hbase\HbaseHostApplicationMapDao.java,4773,65,69
9,com.navercorp.pinpoint.web.dao.hbase.HbaseApplicationTraceIndexDao.makeResponseTimeFilter,web\src\main\java\com\navercorp\pinpoint\web\dao\hbase\HbaseApplicationTraceIndexDao.java,13945,84,43
10,com.navercorp.pinpoint.web.view.LinkSerializer.writeAgentId,web\src\main\java\com\navercorp\pinpoint\web\view\LinkSerializer.java,3783,104,10
11,com.navercorp.pinpoint.web.view.LinkSerializer.writeWasToWasTargetRpcList,web\src\main\java\com\navercorp\pinpoint\web\view\LinkSerializer.java,4342,104,76
12,com.navercorp.pinpoint.web.view.LinkSerializer.writeTimeSeriesHistogram,web\src\main\java\com\navercorp\pinpoint\web\view\LinkSerializer.java,5061,104,76
13,com.navercorp.pinpoint.web.view.LinkSerializer.writeAgentHistogram,web\src\main\java\com\navercorp\pinpoint\web\view\LinkSerializer.java,5401,104,75
14,com.navercorp.pinpoint.web.view.LinkSerializer.writeSourceAgentTimeSeriesHistogram,web\src\main\java\com\navercorp\pinpoint\web\view\LinkSerializer.java,5866,104,76
15,com.navercorp.pinpoint.web.view.LinkSerializer.writeSimpleNode,web\src\main\java\com\navercorp\pinpoint\web\view\LinkSerializer.java,6232,104,10
16,com.navercorp.pinpoint.web.view.ScatterDataSerializer.writeDot,web\src\main\java\com\navercorp\pinpoint\web\view\ScatterDataSerializer.java,2844,90,30 25
17,com.navercorp.pinpoint.web.view.StatChartGroupSerializer.writeTimestamp,web\src\main\java\com\navercorp\pinpoint\web\view\StatChartGroupSerializer.java,2262,31,60
18,com.navercorp.pinpoint.web.view.ScatterAgentMetaDataSerializer.writeMetadata,web\src\main\java\com\navercorp\pinpoint\web\view\ScatterAgentMetaDataSerializer.java,1641,23,111
19,com.navercorp.pinpoint.web.alarm.AlarmWriter.isTurnToSendAlarm,web\src\main\java\com\navercorp\pinpoint\web\alarm\AlarmWriter.java,2489,88,74
20,com.navercorp.pinpoint.web.filter.LinkFilter.createAcceptUrlFilter,web\src\main\java\com\navercorp\pinpoint\web\filter\LinkFilter.java,5390,64,41
21,com.navercorp.pinpoint.web.filter.LinkFilter.createResponseTimeFilter,web\src\main\java\com\navercorp\pinpoint\web\filter\LinkFilter.java,6113,64,41
22,com.navercorp.pinpoint.web.filter.LinkFilter.getExecutionType,web\src\main\java\com\navercorp\pinpoint\web\filter\LinkFilter.java,6408,64,41
23,com.navercorp.pinpoint.web.mapper.ResponseTimeMapper.recordColumn,web\src\main\java\com\navercorp\pinpoint\web\mapper\ResponseTimeMapper.java,2728,5,99
24,com.navercorp.pinpoint.web.scatter.ScatterAgentMetadataRepository.addDotAgentInfo,web\src\main\java\com\navercorp\pinpoint\web\scatter\ScatterAgentMetadataRepository.java,910,117,111
25,com.navercorp.pinpoint.web.service.map.VirtualLinkHandler.getUnpopulatedEmulatedNodes,web\src\main\java\com\navercorp\pinpoint\web\service\map\VirtualLinkHandler.java,3427,77,3
26,com.navercorp.pinpoint.web.service.map.VirtualLinkHandler.getLinkKey,web\src\main\java\com\navercorp\pinpoint\web\service\map\VirtualLinkHandler.java,9075,77,6
27,com.navercorp.pinpoint.web.service.AgentServiceImpl.createCommandTransferObject,web\src\main\java\com\navercorp\pinpoint\web\service\AgentServiceImpl.java,12257,63,107
28,com.navercorp.pinpoint.web.service.ResponseTimeHistogramServiceImpl.createEmptyLinkHistogramSummary,web\src\main\java\com\navercorp\pinpoint\web\service\ResponseTimeHistogramServiceImpl.java,13786,128,4 69
29,com.navercorp.pinpoint.web.calltree.span.SpanCallTree.isFoucsNode,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\SpanCallTree.java,2215,79,42
30,com.navercorp.pinpoint.web.calltree.span.SpanCallTree.findUpperLevel,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\SpanCallTree.java,7796,79,42
31,com.navercorp.pinpoint.web.calltree.span.SpanCallTree.findLastSibling,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\SpanCallTree.java,8047,79,42
32,com.navercorp.pinpoint.web.calltree.span.SpanCallTree.splitChildSiblingNodes,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\SpanCallTree.java,10408,79,42
33,com.navercorp.pinpoint.web.calltree.span.CallTreeIterator.getPrevSibling,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\CallTreeIterator.java,4105,112,42
34,com.navercorp.pinpoint.web.calltree.span.CallTreeIterator.isFirstChild,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\CallTreeIterator.java,4489,112,42
35,com.navercorp.pinpoint.web.calltree.span.CallTreeIterator.getAsyncParent,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\CallTreeIterator.java,4600,112,42
36,com.navercorp.pinpoint.web.calltree.span.CallTreeIterator.getChildrenTotalElapsedTime,web\src\main\java\com\navercorp\pinpoint\web\calltree\span\CallTreeIterator.java,5357,112,42
37,com.navercorp.pinpoint.web.controller.AgentCommandController.createResponseData,web\src\main\java\com\navercorp\pinpoint\web\controller\AgentCommandController.java,5538,49,92
38,com.navercorp.pinpoint.web.controller.ScatterChartController.createScatterDataV1,web\src\main\java\com\navercorp\pinpoint\web\controller\ScatterChartController.java,10088,129,8
39,com.navercorp.pinpoint.web.applicationmap.link.LinkStateResolver.isAlert,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\link\LinkStateResolver.java,1349,91,76
40,com.navercorp.pinpoint.web.applicationmap.link.LinkStateResolver.getErrorRate,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\link\LinkStateResolver.java,1528,91,33
41,com.navercorp.pinpoint.web.applicationmap.nodes.ServerInstanceList.addServerInstance,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\nodes\ServerInstanceList.java,1972,123,132
42,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkDataDuplexMap.addSourceLinkData,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\LinkDataDuplexMap.java,1970,18,6
43,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkDataDuplexMap.addTargetLinkData,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\LinkDataDuplexMap.java,2213,18,6
44,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkDataDuplexMap.getSourceLinkData,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\LinkDataDuplexMap.java,2556,18,110
45,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkDataDuplexMap.getTargetLinkData,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\LinkDataDuplexMap.java,2805,18,110
46,com.navercorp.pinpoint.web.applicationmap.rawdata.AgentHistogramList.addAgentHistogram,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\rawdata\AgentHistogramList.java,3133,75,13
47,com.navercorp.pinpoint.web.applicationmap.histogram.AgentTimeHistogram.createAgentResponseTimeViewModel,web\src\main\java\com\navercorp\pinpoint\web\applicationmap\histogram\AgentTimeHistogram.java,4153,14,69
48,com.navercorp.pinpoint.thrift.io.ChunkHeaderBufferedTBaseSerializer.toSpanChunk,thrift\src\main\java\com\navercorp\pinpoint\thrift\io\ChunkHeaderBufferedTBaseSerializer.java,7137,62,95
49,com.navercorp.pinpoint.thrift.dto.flink.TFAgentStatBatch.addToAgentStats,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\flink\TFAgentStatBatch.java,7698,29,105
50,com.navercorp.pinpoint.thrift.dto.flink.TFDataSourceList.addToDataSourceList,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\flink\TFDataSourceList.java,4866,24,71
51,com.navercorp.pinpoint.thrift.dto.flink.TFServerMetaData.addToServiceInfos,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\flink\TFServerMetaData.java,7819,66,83
52,com.navercorp.pinpoint.thrift.dto.command.TThreadDump.addToLockedMonitors,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\command\TThreadDump.java,25729,55,70
53,com.navercorp.pinpoint.thrift.dto.command.TCmdActiveThreadDumpRes.addToThreadDumps,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\command\TCmdActiveThreadDumpRes.java,6951,57,97
54,com.navercorp.pinpoint.thrift.dto.command.TCommandThreadDumpResponse.addToThreadDumps,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\command\TCommandThreadDumpResponse.java,4917,28,55
55,com.navercorp.pinpoint.thrift.dto.command.TCmdActiveThreadLightDumpRes.addToThreadDumps,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\command\TCmdActiveThreadLightDumpRes.java,7061,96,11
56,com.navercorp.pinpoint.thrift.dto.TSpan.addToAnnotations,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TSpan.java,30828,95,51
57,com.navercorp.pinpoint.thrift.dto.TSpan.addToSpanEventList,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TSpan.java,33120,95,34
58,com.navercorp.pinpoint.thrift.dto.TDeadlock.addToDeadlockedThreadList,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TDeadlock.java,7006,80,55
59,com.navercorp.pinpoint.thrift.dto.TSpanChunk.addToSpanEventList,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TSpanChunk.java,18469,36,34
60,com.navercorp.pinpoint.thrift.dto.TSpanEvent.addToAnnotations,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TSpanEvent.java,20994,34,51
61,com.navercorp.pinpoint.thrift.dto.TAgentStatBatch.addToAgentStats,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TAgentStatBatch.java,7670,100,44
62,com.navercorp.pinpoint.thrift.dto.TDataSourceList.addToDataSourceList,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TDataSourceList.java,4838,38,118
63,com.navercorp.pinpoint.thrift.dto.TServerMetaData.addToServiceInfos,thrift\src\main\java\com\navercorp\pinpoint\thrift\dto\TServerMetaData.java,7793,81,108
64,com.navercorp.pinpoint.plugin.kafka.KafkaPlugin.enableConsumerTransform,plugins\kafka\src\main\java\com\navercorp\pinpoint\plugin\kafka\KafkaPlugin.java,9756,61,32
65,com.navercorp.pinpoint.plugin.spring.beans.interceptor.TargetBeanFilter.isBasePackage,plugins\spring\src\main\java\com\navercorp\pinpoint\plugin\spring\beans\interceptor\TargetBeanFilter.java,6225,7,133
66,com.navercorp.pinpoint.plugin.spring.beans.interceptor.TargetBeanFilter.isBeanNameTarget,plugins\spring\src\main\java\com\navercorp\pinpoint\plugin\spring\beans\interceptor\TargetBeanFilter.java,6515,7,133
67,com.navercorp.pinpoint.plugin.spring.beans.interceptor.TargetBeanFilter.isClassNameTarget,plugins\spring\src\main\java\com\navercorp\pinpoint\plugin\spring\beans\interceptor\TargetBeanFilter.java,6810,7,133
68,com.navercorp.pinpoint.plugin.spring.beans.interceptor.TargetBeanFilter.isAnnotationTarget,plugins\spring\src\main\java\com\navercorp\pinpoint\plugin\spring\beans\interceptor\TargetBeanFilter.java,7109,7,133
