id,name,file,offset
0,net.sourceforge.pmd.lang.apex.ast.ASTMethodCallExpression,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTMethodCallExpression.java,261
1,net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromEscapeFalseRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexXSSFromEscapeFalseRule.java,476
2,net.sourceforge.pmd.cpd.MatchCollector,pmd-core\src\main\java\net\sourceforge\pmd\cpd\MatchCollector.java,253
3,net.sourceforge.pmd.lang.java.rule.codestyle.LinguisticNamingRule,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\LinguisticNamingRule.java,1044
4,net.sourceforge.pmd.util.fxdesigner.util.controls.ASTTreeItem,pmd-ui\src\main\java\net\sourceforge\pmd\util\fxdesigner\util\controls\ASTTreeItem.java,531
5,net.sourceforge.pmd.lang.apex.ast.ASTSoqlExpression,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTSoqlExpression.java,192
6,net.sourceforge.pmd.cpd.AntlrTokenizer,pmd-core\src\main\java\net\sourceforge\pmd\cpd\AntlrTokenizer.java,469
7,net.sourceforge.pmd.lang.java.rule.errorprone.NullAssignmentRule,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\NullAssignmentRule.java,1004
8,net.sourceforge.pmd.lang.java.rule.errorprone.BeanMembersShouldSerializeRule,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\BeanMembersShouldSerializeRule.java,1313
9,net.sourceforge.pmd.lang.java.metrics.impl.visitors.AtfdBaseVisitor,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\impl\visitors\AtfdBaseVisitor.java,742
10,net.sourceforge.pmd.cpd.Match,pmd-core\src\main\java\net\sourceforge\pmd\cpd\Match.java,261
11,net.sourceforge.pmd.lang.java.ast.ASTReturnStatement,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTReturnStatement.java,207
12,net.sourceforge.pmd.cpd.Tokens,pmd-core\src\main\java\net\sourceforge\pmd\cpd\Tokens.java,202
13,net.sourceforge.pmd.lang.java.ast.ASTImportDeclaration,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTImportDeclaration.java,209
14,net.sourceforge.pmd.lang.java.ast.ASTStatementExpression,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTStatementExpression.java,211
15,net.sourceforge.pmd.lang.java.ast.ASTEqualityExpression,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTEqualityExpression.java,210
16,net.sourceforge.pmd.lang.java.ast.ASTFormalParameters,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTFormalParameters.java,260
17,net.sourceforge.pmd.lang.java.rule.errorprone.InvalidSlf4jMessageFormatRule,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\InvalidSlf4jMessageFormatRule.java,1833
18,net.sourceforge.pmd.lang.plsql.symboltable.PLSQLNameOccurrence,pmd-plsql\src\main\java\net\sourceforge\pmd\lang\plsql\symboltable\PLSQLNameOccurrence.java,419
19,net.sourceforge.pmd.lang.java.rule.errorprone.SingletonClassReturningNewInstanceRule,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\SingletonClassReturningNewInstanceRule.java,830
20,net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTVariableDeclaratorId.java,431
21,net.sourceforge.pmd.lang.apex.rule.bestpractices.AvoidGlobalModifierRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\bestpractices\AvoidGlobalModifierRule.java,623
22,net.sourceforge.pmd.lang.plsql.symboltable.LocalScope,pmd-plsql\src\main\java\net\sourceforge\pmd\lang\plsql\symboltable\LocalScope.java,628
23,net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,635
24,net.sourceforge.pmd.lang.vf.rule.security.VfUnescapeElRule,pmd-visualforce\src\main\java\net\sourceforge\pmd\lang\vf\rule\security\VfUnescapeElRule.java,1094
25,net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclaration,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTLocalVariableDeclaration.java,279
26,net.sourceforge.pmd.dcd.graph.ClassNode,pmd-core\src\main\java\net\sourceforge\pmd\dcd\graph\ClassNode.java,296
27,net.sourceforge.pmd.lang.java.ast.ASTMethodDeclarator,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\ASTMethodDeclarator.java,208
28,net.sourceforge.pmd.lang.plsql.symboltable.NameFinder,pmd-plsql\src\main\java\net\sourceforge\pmd\lang\plsql\symboltable\NameFinder.java,615
29,net.sourceforge.pmd.lang.jsp.ast.ASTElExpression,pmd-jsp\src\main\java\net\sourceforge\pmd\lang\jsp\ast\ASTElExpression.java,203
30,net.sourceforge.pmd.lang.java.rule.performance.ConsecutiveLiteralAppendsRule,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\performance\ConsecutiveLiteralAppendsRule.java,1970
