id,name,file,offset,containing_class_id,target_ids
0,net.sourceforge.pmd.util.fxdesigner.util.controls.AstTreeView.sideEffectParents,pmd-ui\src\main\java\net\sourceforge\pmd\util\fxdesigner\util\controls\AstTreeView.java,4233,34,4
1,net.sourceforge.pmd.lang.vm.ast.ASTStringLiteral.adjTokenLineNums,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\ast\ASTStringLiteral.java,1462,70,40
2,net.sourceforge.pmd.lang.vm.rule.errorprone.EmptyIfStmtRule.handleIf,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\rule\errorprone\EmptyIfStmtRule.java,1122,87,40
3,net.sourceforge.pmd.lang.jsp.rule.security.NoUnsanitizedJSPExpressionRule.elOutsideTaglib,pmd-jsp\src\main\java\net\sourceforge\pmd\lang\jsp\rule\security\NoUnsanitizedJSPExpressionRule.java,729,42,29
4,net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule.getType,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexCRUDViolationRule.java,13161,46,0
5,net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule.getReturnType,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexCRUDViolationRule.java,25808,46,103
6,net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromURLParamRule.getReturnType,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexXSSFromURLParamRule.java,5024,44,124
7,net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromEscapeFalseRule.validateLiteralPresence,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexXSSFromEscapeFalseRule.java,2305,1,0
8,net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule.isOverriddenMethod,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,2171,23,103
9,net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule.isPropertyAccessor,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,2295,23,103
10,net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule.isConstructor,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,2427,23,103
11,net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule.isTestMethod,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,2549,23,103
12,net.sourceforge.pmd.lang.apex.rule.performance.AvoidSoqlInLoopsRule.parentNotReturn,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\performance\AvoidSoqlInLoopsRule.java,1251,71,5
13,net.sourceforge.pmd.lang.apex.rule.performance.AvoidSoqlInLoopsRule.parentNotForEach,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\performance\AvoidSoqlInLoopsRule.java,1389,71,5
14,net.sourceforge.pmd.lang.apex.rule.performance.AvoidSoqlInLoopsRule.insideLoop,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\performance\AvoidSoqlInLoopsRule.java,1529,71,5
15,net.sourceforge.pmd.lang.apex.rule.performance.AvoidSoslInLoopsRule.parentNotReturn,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\performance\AvoidSoslInLoopsRule.java,1251,99,50
16,net.sourceforge.pmd.lang.apex.rule.performance.AvoidSoslInLoopsRule.parentNotForEach,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\performance\AvoidSoslInLoopsRule.java,1389,99,50
17,net.sourceforge.pmd.lang.apex.rule.performance.AvoidSoslInLoopsRule.insideLoop,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\performance\AvoidSoslInLoopsRule.java,1529,99,50
18,net.sourceforge.pmd.lang.apex.rule.bestpractices.AvoidGlobalModifierRule.isWebService,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\bestpractices\AvoidGlobalModifierRule.java,1894,21,96
19,net.sourceforge.pmd.lang.apex.rule.bestpractices.AvoidGlobalModifierRule.isGlobal,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\bestpractices\AvoidGlobalModifierRule.java,2079,21,96
20,net.sourceforge.pmd.lang.apex.rule.bestpractices.AvoidGlobalModifierRule.hasRestAnnotation,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\bestpractices\AvoidGlobalModifierRule.java,2255,21,96
21,net.sourceforge.pmd.cpd.GUI.setLabelFor,pmd-core\src\main\java\net\sourceforge\pmd\cpd\GUI.java,22321,118,10
22,net.sourceforge.pmd.cpd.CPDTask.analyzeCode,pmd-core\src\main\java\net\sourceforge\pmd\cpd\CPDTask.java,6285,72,67
23,net.sourceforge.pmd.cpd.XMLRenderer.addFilesToDuplicationElement,pmd-core\src\main\java\net\sourceforge\pmd\cpd\XMLRenderer.java,3652,66,10
24,net.sourceforge.pmd.cpd.XMLRenderer.addCodeSnippet,pmd-core\src\main\java\net\sourceforge\pmd\cpd\XMLRenderer.java,4163,66,10
25,net.sourceforge.pmd.cpd.XMLRenderer.createDuplicationElement,pmd-core\src\main\java\net\sourceforge\pmd\cpd\XMLRenderer.java,4578,66,10
26,net.sourceforge.pmd.cpd.AntlrTokenizer.processToken,pmd-core\src\main\java\net\sourceforge\pmd\cpd\AntlrTokenizer.java,2338,6,12 110
27,net.sourceforge.pmd.cpd.MatchCollector.matchEnded,pmd-core\src\main\java\net\sourceforge\pmd\cpd\MatchCollector.java,3354,2,43
28,net.sourceforge.pmd.dcd.UsageNodeVisitor.ignore,pmd-core\src\main\java\net\sourceforge\pmd\dcd\UsageNodeVisitor.java,8520,37,26
29,net.sourceforge.pmd.lang.dfa.report.ReportTree.equalsNodeInLevel,pmd-core\src\main\java\net\sourceforge\pmd\lang\dfa\report\ReportTree.java,5066,59,76
30,net.sourceforge.pmd.lang.dfa.pathfinder.DAAPathFinder.addNode,pmd-core\src\main\java\net\sourceforge\pmd\lang\dfa\pathfinder\DAAPathFinder.java,9925,101,109
31,net.sourceforge.pmd.processor.AbstractPMDProcessor.renderReports,pmd-core\src\main\java\net\sourceforge\pmd\processor\AbstractPMDProcessor.java,1273,62,45
32,net.sourceforge.pmd.RuleSetFactory.createRuleSetCopy,pmd-core\src\main\java\net\sourceforge\pmd\RuleSetFactory.java,8794,63,82
33,net.sourceforge.pmd.SourceCodeProcessor.parse,pmd-core\src\main\java\net\sourceforge\pmd\SourceCodeProcessor.java,4462,121,83
34,net.sourceforge.pmd.SourceCodeProcessor.usesDFA,pmd-core\src\main\java\net\sourceforge\pmd\SourceCodeProcessor.java,5832,121,58 80
35,net.sourceforge.pmd.SourceCodeProcessor.usesMultifile,pmd-core\src\main\java\net\sourceforge\pmd\SourceCodeProcessor.java,6761,121,58
36,net.sourceforge.pmd.lang.java.rule.design.ImmutableFieldRule.initializedWhenDeclared,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\ImmutableFieldRule.java,3216,60,126
37,net.sourceforge.pmd.lang.java.rule.design.ImmutableFieldRule.findAllConstructors,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\ImmutableFieldRule.java,6394,60,89
38,net.sourceforge.pmd.lang.java.rule.design.UseUtilityClassRule.isOkUsingLombok,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\UseUtilityClassRule.java,3345,32,89
39,net.sourceforge.pmd.lang.java.rule.design.LoosePackageCouplingRule.isAllowedClass,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\LoosePackageCouplingRule.java,4684,129,13
40,net.sourceforge.pmd.lang.java.rule.design.UselessOverridingMethodRule.isMethodType,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\UselessOverridingMethodRule.java,2928,57,85
41,net.sourceforge.pmd.lang.java.rule.design.UselessOverridingMethodRule.isMethodThrowingType,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\UselessOverridingMethodRule.java,3396,57,85
42,net.sourceforge.pmd.lang.java.rule.design.SignatureDeclareThrowsExceptionRule.isParentSignatureDeclaration,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\design\SignatureDeclareThrowsExceptionRule.java,7152,56,84
43,net.sourceforge.pmd.lang.java.rule.codestyle.LinguisticNamingRule.isBooleanType,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\LinguisticNamingRule.java,8003,3,128
44,net.sourceforge.pmd.lang.java.rule.codestyle.IdenticalCatchBranchesRule.newEquivClass,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\IdenticalCatchBranchesRule.java,2054,114,51
45,net.sourceforge.pmd.lang.java.rule.codestyle.IdenticalCatchBranchesRule.getCaughtExceptionsAsString,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\IdenticalCatchBranchesRule.java,2310,114,51
46,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryConstructorRule.hasDefaultConstructorInvocation,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryConstructorRule.java,2729,39,115
47,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryConstructorRule.haveSameAccessModifier,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryConstructorRule.java,3241,39,115 89
48,net.sourceforge.pmd.lang.java.rule.codestyle.MethodNamingConventionsRule.isJunit3Test,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\MethodNamingConventionsRule.java,2392,90,85
49,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryLocalBeforeReturnRule.isNotAnnotated,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryLocalBeforeReturnRule.java,6957,73,126
50,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryLocalBeforeReturnRule.isMethodCall,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryLocalBeforeReturnRule.java,7202,73,11
51,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryFullyQualifiedNameRule.declarationMatches,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryFullyQualifiedNameRule.java,2819,108,13
52,net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryFullyQualifiedNameRule.isJavaLangImplicit,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\codestyle\UnnecessaryFullyQualifiedNameRule.java,8909,108,35
53,net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule.hasNullInitializer,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\CloseResourceRule.java,6463,92,25
54,net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule.variableIsPassedToMethod,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\CloseResourceRule.java,15104,92,112
55,net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule.findIfStatement,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\CloseResourceRule.java,15758,92,125
56,net.sourceforge.pmd.lang.java.rule.errorprone.NullAssignmentRule.isAssignmentToFinalField,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\NullAssignmentRule.java,2260,7,14
57,net.sourceforge.pmd.lang.java.rule.errorprone.NullAssignmentRule.isBadTernary,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\NullAssignmentRule.java,2619,7,93
58,net.sourceforge.pmd.lang.java.rule.errorprone.BrokenNullCheckRule.findNullCompareExpression,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\BrokenNullCheckRule.java,7258,54,15
59,net.sourceforge.pmd.lang.java.rule.errorprone.UnnecessaryCaseChangeRule.getBadPrefixOrNull,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\UnnecessaryCaseChangeRule.java,1332,98,112
60,net.sourceforge.pmd.lang.java.rule.errorprone.UnnecessaryCaseChangeRule.getBadSuffixOrNull,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\UnnecessaryCaseChangeRule.java,2325,98,112
61,net.sourceforge.pmd.lang.java.rule.errorprone.InvalidSlf4jMessageFormatRule.isNewThrowable,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\InvalidSlf4jMessageFormatRule.java,4732,17,112
62,net.sourceforge.pmd.lang.java.rule.errorprone.InvalidSlf4jMessageFormatRule.hasTypeThrowable,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\InvalidSlf4jMessageFormatRule.java,5158,17,112
63,net.sourceforge.pmd.lang.java.rule.errorprone.InvalidSlf4jMessageFormatRule.isReferencingThrowable,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\InvalidSlf4jMessageFormatRule.java,5362,17,112
64,net.sourceforge.pmd.lang.java.rule.errorprone.BeanMembersShouldSerializeRule.isBeanAccessor,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\BeanMembersShouldSerializeRule.java,4700,8,27
65,net.sourceforge.pmd.lang.java.rule.errorprone.CloneMethodMustImplementCloneableRule.extendsOrImplementsCloneable,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\CloneMethodMustImplementCloneableRule.java,1557,68,89
66,net.sourceforge.pmd.lang.java.rule.errorprone.CloneMethodMustImplementCloneableRule.isCloneMethod,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\CloneMethodMustImplementCloneableRule.java,7177,68,27
67,net.sourceforge.pmd.lang.java.rule.errorprone.SingletonClassReturningNewInstanceRule.getNameFromPrimaryPrefix,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\errorprone\SingletonClassReturningNewInstanceRule.java,4573,19,116
68,net.sourceforge.pmd.lang.java.rule.performance.ConsecutiveLiteralAppendsRule.determineUsages,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\performance\ConsecutiveLiteralAppendsRule.java,6892,30,20
69,net.sourceforge.pmd.lang.java.rule.performance.ConsecutiveLiteralAppendsRule.checkInitializerExpressions,pmd-java\src\main\java\net\sourceforge\pmd\lang\java\rule\performance\ConsecutiveLiteralAppendsRule.java,8527,30,20
