name,file,containing_class,containing_class_file,target_ids,target_ids_file
net.sourceforge.pmd.util.fxdesigner.util.controls.AstTreeView.sideEffectParents,pmd-ui\src\main\java\net\sourceforge\pmd\util\fxdesigner\util\controls\AstTreeView.java,net.sourceforge.pmd.util.fxdesigner.util.controls.AstTreeView,pmd-ui\src\main\java\net\sourceforge\pmd\util\fxdesigner\util\controls\AstTreeView.java,net.sourceforge.pmd.util.fxdesigner.util.controls.ASTTreeItem,pmd-ui\src\main\java\net\sourceforge\pmd\util\fxdesigner\util\controls\ASTTreeItem.java
net.sourceforge.pmd.lang.vm.ast.ASTStringLiteral.adjTokenLineNums,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\ast\ASTStringLiteral.java,net.sourceforge.pmd.lang.vm.ast.ASTStringLiteral,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\ast\ASTStringLiteral.java,net.sourceforge.pmd.lang.vm.ast.AbstractVmNode,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\ast\AbstractVmNode.java
net.sourceforge.pmd.lang.vm.rule.errorprone.EmptyIfStmtRule.handleIf,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\rule\errorprone\EmptyIfStmtRule.java,net.sourceforge.pmd.lang.vm.rule.errorprone.EmptyIfStmtRule,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\rule\errorprone\EmptyIfStmtRule.java,net.sourceforge.pmd.lang.vm.ast.AbstractVmNode,pmd-vm\src\main\java\net\sourceforge\pmd\lang\vm\ast\AbstractVmNode.java
net.sourceforge.pmd.lang.jsp.rule.security.NoUnsanitizedJSPExpressionRule.elOutsideTaglib,pmd-jsp\src\main\java\net\sourceforge\pmd\lang\jsp\rule\security\NoUnsanitizedJSPExpressionRule.java,net.sourceforge.pmd.lang.jsp.rule.security.NoUnsanitizedJSPExpressionRule,pmd-jsp\src\main\java\net\sourceforge\pmd\lang\jsp\rule\security\NoUnsanitizedJSPExpressionRule.java,net.sourceforge.pmd.lang.jsp.ast.ASTElExpression,pmd-jsp\src\main\java\net\sourceforge\pmd\lang\jsp\ast\ASTElExpression.java
net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule.getType,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexCRUDViolationRule.java,net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexCRUDViolationRule.java,net.sourceforge.pmd.lang.apex.ast.ASTMethodCallExpression,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTMethodCallExpression.java
net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule.getReturnType,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexCRUDViolationRule.java,net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexCRUDViolationRule.java,net.sourceforge.pmd.lang.apex.ast.ASTMethod,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTMethod.java
net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromURLParamRule.getReturnType,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexXSSFromURLParamRule.java,net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromURLParamRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexXSSFromURLParamRule.java,net.sourceforge.pmd.lang.apex.ast.ASTReturnStatement,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTReturnStatement.java
net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromEscapeFalseRule.validateLiteralPresence,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexXSSFromEscapeFalseRule.java,net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromEscapeFalseRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\security\ApexXSSFromEscapeFalseRule.java,net.sourceforge.pmd.lang.apex.ast.ASTMethodCallExpression,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTMethodCallExpression.java
net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule.isOverriddenMethod,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,net.sourceforge.pmd.lang.apex.ast.ASTMethod,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTMethod.java
net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule.isPropertyAccessor,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,net.sourceforge.pmd.lang.apex.rule.codestyle.MethodNamingConventionsRule,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\rule\codestyle\MethodNamingConventionsRule.java,net.sourceforge.pmd.lang.apex.ast.ASTMethod,pmd-apex\src\main\java\net\sourceforge\pmd\lang\apex\ast\ASTMethod.java
