method,class
weka.datagenerators.DataGenerator.converterQuery,weka.gui.explorer.PreprocessPanel
weka.filters.unsupervised.instance.RemoveRange.getSamples,weka.classifiers.functions.LeastMedSq
weka.core.AttributeStats.setTable,weka.gui.AttributeSummaryPanel
weka.filters.unsupervised.attribute.Standardize.setOutputFormat,weka.attributeSelection.PrincipalComponents
weka.gui.DatabaseConnectionDialog.createPanel,weka.gui.sql.ConnectionPanel
weka.gui.visualize.VisualizePanel.loadClusterer,weka.gui.explorer.ClustererPanel
weka.core.matrix.DoubleVector.fitForSingleCluster,weka.classifiers.functions.pace.MixtureDistribution
weka.core.Environment.runSequentially,weka.gui.beans.FlowRunner
weka.classifiers.functions.supportVector.Kernel.classifyInstance2,weka.classifiers.functions.GaussianProcesses
weka.classifiers.CostMatrix.getEvaluatorSpec,weka.attributeSelection.CostSensitiveASEvaluation
weka.gui.ResultHistoryPanel.setUpFinal,weka.gui.beans.TextViewer
weka.filters.unsupervised.attribute.Remove.reduceDimensionality2,weka.attributeSelection.AttributeSelection
weka.gui.PropertyDialog.paintValue2,weka.gui.GenericArrayEditor
weka.classifiers.Evaluation.evaluateFoldCV,weka.classifiers.rules.DecisionTable
weka.core.matrix.Matrix.processPLS1,weka.filters.supervised.attribute.PLSFilter
weka.classifiers.functions.SMOreg.init,weka.classifiers.functions.supportVector.RegOptimizer
weka.gui.beans.BeanVisual.setAssociator,weka.gui.beans.Associator
weka.core.neighboursearch.balltrees.BallTreeConstructor.buildTree,weka.core.neighboursearch.BallTree
weka.filters.Filter.distributionForInstance2,weka.classifiers.mi.MIEMDD
weka.filters.unsupervised.attribute.RemoveUseless.printGroups,weka.classifiers.meta.RotationForest
weka.core.neighboursearch.NearestNeighbourSearch.makeDistribution,weka.classifiers.lazy.IBk
weka.gui.ExtensionFileFilter.openExperiment,weka.gui.experiment.SimpleSetupPanel
weka.filters.unsupervised.attribute.NominalToBinary.distributionForInstance2,weka.classifiers.mi.MISMO
weka.classifiers.rules.ZeroR.distributionForInstance,weka.classifiers.meta.OrdinalClassClassifier
weka.classifiers.bayes.BayesNet.kFoldCV,weka.classifiers.bayes.net.search.global.GlobalScoreSearchAlgorithm
weka.classifiers.functions.neural.LinearUnit.setClassType,weka.classifiers.functions.MultilayerPerceptron
weka.classifiers.bayes.net.BIFReader.getOptions,weka.classifiers.bayes.BayesNet
weka.filters.unsupervised.attribute.Normalize.distributionForInstance2,weka.classifiers.functions.SPegasos
weka.classifiers.trees.lmt.LogisticBase.distributionForInstance2,weka.classifiers.functions.SimpleLogistic
weka.gui.ConverterFileChooser.saveFile,weka.gui.arffviewer.ArffViewerMainPanel
weka.classifiers.trees.j48.ClassifierSplitModel.chooseIndex,weka.classifiers.rules.part.ClassifierDecList
